MV Schillplate		
1		
1		
1		
0	82.84	
MainHull		
119		
	2	
83.05	0	2.164
83.05	0	3.083
	12	
83.05	0	2.164
83.05	0.023	2.156
83.05	0.061	2.239
83.05	0.097	2.324
83.05	0.126	2.411
83.05	0.146	2.501
83.05	0.154	2.642
83.05	0.135	2.782
83.05	0.087	2.931
83.05	0.056	3.003
83.05	0.024	3.072
83.05	0	3.083
	19	
82.75	0	1.576
82.75	0.023	1.579
82.75	0.1	1.679
82.75	0.169	1.785
82.75	0.231	1.896
82.75	0.283	2.012
82.75	0.351	2.228
82.75	0.394	2.451
82.75	0.421	2.691
82.75	0.441	2.916
82.75	0.432	3.122
82.75	0.398	3.327
82.75	0.343	3.526
82.75	0.264	3.713
82.75	0.211	3.803
82.75	0.153	3.889
82.75	0.089	3.972
82.75	0.023	4.053
82.75	0	4.058
	19	
82.45	0	1.255
82.45	0.023	1.261
82.45	0.179	1.421
82.45	0.298	1.604
82.45	0.389	1.805
82.45	0.462	2.015
82.45	0.587	2.503
82.45	0.642	3
82.45	0.627	3.345
82.45	0.56	3.683
82.45	0.485	3.901
82.45	0.305	4.299
82.45	0.215	4.483
82.45	0.131	4.67
82.45	0.057	4.862
82.45	0.035	5.032
82.45	0.024	5.203
82.45	0	5.218
82.15	0	9.544
	32	
82.15	0	1.023
82.15	0.023	1.03
82.15	0.18	1.173
82.15	0.308	1.339
82.15	0.412	1.522
82.15	0.5	1.715
82.15	0.668	2.213
82.15	0.775	2.729
82.15	0.807	2.997
82.15	0.812	3.265
82.15	0.803	3.383
82.15	0.786	3.499
82.15	0.671	3.889
82.15	0.501	4.261
82.15	0.428	4.402
82.15	0.28	4.68
82.15	0.206	4.82
82.15	0.202	5.085
82.15	0.214	5.35
82.15	0.243	5.613
82.15	0.293	5.873
82.15	0.405	6.248
82.15	0.562	6.607
82.15	0.628	6.729
82.15	0.662	6.789
82.15	0.698	6.848
82.15	1.018	7.539
82.15	1.372	8.211
82.15	1.74	8.877
82.15	1.924	9.21
82.15	2.105	9.544
82.15	0	9.544
	31	
81.85	0	0.843
81.85	0.023	0.85
81.85	0.18	0.987
81.85	0.316	1.144
81.85	0.433	1.317
81.85	0.533	1.5
81.85	0.686	1.867
81.85	0.802	2.248
81.85	0.862	2.488
81.85	0.91	2.731
81.85	0.951	3.116
81.85	0.928	3.5
81.85	0.864	3.761
81.85	0.765	4.014
81.85	0.668	4.209
81.85	0.454	4.587
81.85	0.348	4.775
81.85	0.359	4.912
81.85	0.371	5.049
81.85	0.387	5.185
81.85	0.407	5.321
81.85	0.463	5.592
81.85	0.538	5.858
81.85	0.741	6.371
81.85	0.868	6.616
81.85	1.014	6.85
81.85	1.345	7.532
81.85	1.691	8.208
81.85	2.048	8.877
81.85	2.416	9.541
81.85	0	9.541
	31	
81.55	0	0.698
81.55	0.023	0.705
81.55	0.168	0.83
81.55	0.3	0.968
81.55	0.524	1.277
81.55	0.704	1.629
81.55	0.843	2
81.55	0.984	2.518
81.55	1.055	3.05
81.55	1.057	3.334
81.55	1.023	3.615
81.55	0.95	3.876
81.55	0.841	4.125
81.55	0.757	4.279
81.55	0.667	4.43
81.55	0.574	4.579
81.55	0.483	4.728
81.55	0.596	5.293
81.55	0.771	5.842
81.55	1.012	6.365
81.55	1.32	6.852
81.55	1.399	7.024
81.55	1.478	7.195
81.55	1.639	7.538
81.55	1.827	7.917
81.55	2.024	8.292
81.55	2.195	8.604
81.55	2.368	8.914
81.55	2.542	9.224
81.55	2.714	9.534
81.55	0	9.534
	35	
80.95	0	0.48
80.95	0.022	0.485
80.95	0.096	0.526
80.95	0.164	0.574
80.95	0.228	0.628
80.95	0.289	0.686
80.95	0.505	0.952
80.95	0.685	1.246
80.95	0.807	1.476
80.95	0.916	1.712
80.95	1	1.93
80.95	1.106	2.248
80.95	1.189	2.619
80.95	1.227	2.997
80.95	1.214	3.431
80.95	1.129	3.856
80.95	1.021	4.143
80.95	0.875	4.412
80.95	0.84	4.466
80.95	0.805	4.518
80.95	0.769	4.571
80.95	0.735	4.624
80.95	0.854	4.98
80.95	0.992	5.329
80.95	1.15	5.669
80.95	1.326	5.999
80.95	1.458	6.22
80.95	1.746	6.646
80.95	1.901	6.851
80.95	2.202	7.538
80.95	2.544	8.206
80.95	2.723	8.536
80.95	3.089	9.191
80.95	3.271	9.519
80.95	0	9.519
	33	
80.35	0	0.326
80.35	0.022	0.327
80.35	0.127	0.387
80.35	0.225	0.455
80.35	0.403	0.616
80.35	0.638	0.916
80.35	0.83	1.247
80.35	1.01	1.618
80.35	1.162	2
80.35	1.271	2.359
80.35	1.34	2.727
80.35	1.36	3.114
80.35	1.334	3.501
80.35	1.291	3.753
80.35	1.222	3.999
80.35	1.167	4.134
80.35	1.103	4.266
80.35	1.07	4.327
80.35	1.036	4.388
80.35	1.001	4.448
80.35	0.966	4.508
80.35	1.1	4.802
80.35	1.242	5.092
80.35	1.558	5.656
80.35	1.763	5.967
80.35	1.982	6.267
80.35	2.213	6.56
80.35	2.451	6.846
80.35	2.771	7.517
80.35	3.099	8.185
80.35	3.431	8.85
80.35	3.768	9.513
80.35	0	9.513
	29	
79.75	0	0.219
79.75	0.022	0.217
79.75	0.204	0.313
79.75	0.368	0.435
79.75	0.515	0.578
79.75	0.645	0.737
79.75	0.858	1.071
79.75	1.11	1.585
79.75	1.18	1.747
79.75	1.401	2.471
79.75	1.47	3.223
79.75	1.439	3.58
79.75	1.36	3.93
79.75	1.323	4.044
79.75	1.28	4.157
79.75	1.232	4.268
79.75	1.18	4.378
79.75	1.293	4.544
79.75	1.393	4.716
79.75	1.581	5.069
79.75	1.711	5.294
79.75	1.924	5.617
79.75	2.228	6.014
79.75	2.468	6.299
79.75	2.716	6.578
79.75	2.972	6.847
79.75	3.595	8.192
79.75	4.214	9.504
79.75	0	9.504
	33	
79.15	0	0.147
79.15	0.023	0.141
79.15	0.118	0.195
79.15	0.213	0.25
79.15	0.263	0.273
79.15	0.311	0.299
79.15	0.403	0.359
79.15	0.696	0.65
79.15	0.924	1.001
79.15	1.061	1.247
79.15	1.185	1.5
79.15	1.286	1.747
79.15	1.372	2
79.15	1.512	2.571
79.15	1.572	3.156
79.15	1.567	3.428
79.15	1.537	3.699
79.15	1.48	3.964
79.15	1.391	4.223
79.15	1.514	4.4
79.15	1.628	4.582
79.15	1.848	4.952
79.15	2.001	5.193
79.15	2.253	5.543
79.15	2.606	5.971
79.15	2.88	6.275
79.15	3.165	6.568
79.15	3.461	6.849
79.15	3.767	7.502
79.15	4.058	8.161
79.15	4.337	8.826
79.15	4.608	9.494
79.15	0	9.494
	34	
78.55	0	0.096
78.55	0.024	0.089
78.55	0.254	0.198
78.55	0.472	0.329
78.55	0.674	0.506
78.55	0.763	0.608
78.55	0.845	0.715
78.55	1.155	1.211
78.55	1.388	1.748
78.55	1.468	1.996
78.55	1.534	2.248
78.55	1.602	2.565
78.55	1.653	2.884
78.55	1.684	3.271
78.55	1.671	3.658
78.55	1.659	3.754
78.55	1.643	3.85
78.55	1.623	3.946
78.55	1.6	4.04
78.55	1.756	4.275
78.55	1.906	4.514
78.55	2.212	4.987
78.55	2.539	5.432
78.55	2.895	5.855
78.55	3.136	6.117
78.55	3.386	6.371
78.55	3.645	6.615
78.55	3.913	6.85
78.55	4.193	7.5
78.55	4.453	8.158
78.55	4.579	8.488
78.55	4.703	8.82
78.55	4.948	9.483
78.55	0	9.483
	32	
77.95	0	0.057
77.95	0.026	0.052
77.95	0.216	0.126
77.95	0.493	0.258
77.95	0.58	0.312
77.95	0.661	0.373
77.95	0.737	0.442
77.95	0.979	0.735
77.95	1.183	1.054
77.95	1.352	1.394
77.95	1.489	1.748
77.95	1.644	2.283
77.95	1.755	2.83
77.95	1.804	3.161
77.95	1.824	3.495
77.95	1.818	3.662
77.95	1.811	3.746
77.95	1.803	3.829
77.95	1.938	4.047
77.95	2.074	4.265
77.95	2.354	4.694
77.95	2.641	5.096
77.95	2.946	5.485
77.95	3.263	5.852
77.95	3.598	6.203
77.95	3.951	6.536
77.95	4.323	6.849
77.95	4.572	7.498
77.95	4.804	8.153
77.95	5.025	8.812
77.95	5.239	9.473
77.95	0	9.473
	36	
77.35	0	0.028
77.35	0.025	0.025
77.35	0.178	0.069
77.35	0.478	0.178
77.35	0.618	0.251
77.35	0.732	0.329
77.35	0.837	0.419
77.35	0.935	0.518
77.35	1.024	0.623
77.35	1.138	0.774
77.35	1.238	0.932
77.35	1.327	1.098
77.35	1.407	1.268
77.35	1.552	1.63
77.35	1.676	2.001
77.35	1.822	2.516
77.35	1.933	3.038
77.35	1.972	3.31
77.35	1.986	3.447
77.35	1.996	3.584
77.35	2.163	3.874
77.35	2.336	4.161
77.35	2.515	4.443
77.35	2.702	4.72
77.35	2.917	5.014
77.35	3.141	5.301
77.35	3.278	5.469
77.35	3.417	5.634
77.35	3.698	5.944
77.35	3.992	6.242
77.35	4.243	6.476
77.35	4.501	6.701
77.35	4.644	6.829
77.35	4.686	6.848
77.35	5.485	9.463
77.35	0	9.463
	32	
76.75	0	0.009
76.75	0.025	0.006
76.75	0.17	0.036
76.75	0.314	0.068
76.75	0.457	0.108
76.75	0.595	0.16
76.75	0.789	0.265
76.75	0.965	0.4
76.75	1.084	0.519
76.75	1.191	0.649
76.75	1.267	0.758
76.75	1.336	0.871
76.75	1.378	0.95
76.75	1.401	0.996
76.75	1.424	1.043
76.75	1.58	1.392
76.75	1.719	1.749
76.75	1.852	2.126
76.75	1.971	2.507
76.75	2.074	2.893
76.75	2.156	3.284
76.75	2.308	3.603
76.75	2.481	3.91
76.75	2.868	4.501
76.75	3.239	5.007
76.75	3.63	5.497
76.75	3.947	5.862
76.75	4.28	6.212
76.75	4.637	6.559
76.75	5.008	6.848
76.75	5.686	9.453
76.75	0	9.453
	26	
76.15	0	0.002
76.15	0.025	0.001
76.15	0.202	0.017
76.15	0.553	0.087
76.15	0.722	0.145
76.15	1.002	0.295
76.15	1.243	0.499
76.15	1.398	0.692
76.15	1.525	0.906
76.15	1.631	1.132
76.15	1.721	1.362
76.15	1.873	1.724
76.15	2.013	2.09
76.15	2.141	2.461
76.15	2.254	2.837
76.15	2.375	3.148
76.15	2.518	3.447
76.15	2.853	4.021
76.15	3.153	4.468
76.15	3.47	4.904
76.15	3.881	5.432
76.15	4.316	5.938
76.15	4.787	6.43
76.15	5.291	6.849
76.15	5.848	9.443
76.15	0	9.443
	27	
75.75	0	0.001
75.75	0.126	0
75.75	0.343	0.019
75.75	0.557	0.056
75.75	0.766	0.116
75.75	0.966	0.2
75.75	1.181	0.333
75.75	1.371	0.5
75.75	1.61	0.83
75.75	1.789	1.201
75.75	1.912	1.499
75.75	1.975	1.649
75.75	2.037	1.8
75.75	2.257	2.402
75.75	2.487	3
75.75	2.741	3.51
75.75	3.035	4
75.75	3.377	4.507
75.75	3.737	5
75.75	4.128	5.498
75.75	4.541	5.978
75.75	4.982	6.43
75.75	5.458	6.85
75.75	5.576	7.486
75.75	5.816	8.789
75.75	5.935	9.436
75.75	0	9.436
	27	
75.561	0	0.001
75.561	0.181	0
75.561	0.399	0.018
75.561	0.615	0.056
75.561	0.827	0.116
75.561	1.028	0.201
75.561	1.112	0.246
75.561	1.192	0.297
75.561	1.33	0.402
75.561	1.383	0.45
75.561	1.432	0.501
75.561	1.698	0.88
